project,sector,status,scale_or_cost,financing_or_sponsor,latest_evidence
TEREG,Electricity system,Financing approved and parliamentary guarantee approved,"US$430m public package; target US$2.8bn private mobilization","World Bank; Climate Investment Funds; Tunisia","World Bank Nov 2025; ARP Jul 2026"
ELMED,Electricity interconnector,Under implementation,"600 MW; about 200 km submarine cable; roughly EUR850-920m depending scope/date","EU; World Bank; EIB; EBRD; KfW; Tunisia; Italy","EIB/EBRD 2024-2025"
Renewable auction pipeline,Power generation,Awarded or tendering,"Multiple 100-300 MW solar projects; Bazma includes 150 MW/540 MWh BESS","Private IPPs; STEG; development finance","Energy Ministry 2026"
Bizerte bridge,Transport,Under construction,"2.07 km bridge; TND750m total project estimate","Tunisia; EIB EUR123m; AfDB EUR122m","EIB 2024; AfDB May 2026"
Water Security and Resilience Program,Water,World Bank approved,"US$332.5m phase 1; US$700m ten-year envelope","World Bank; Tunisia","World Bank Apr 2026"
Zarat desalination expansion,Water,Financed under water program,"50,000 to 100,000 cubic metres/day","World Bank; SONEDE; Tunisia","World Bank Apr 2026"
Phosphate rail rehabilitation,Rail and mining,Loan agreement approved by parliament,"Amount not stated in reviewed parliamentary summary","Arab Fund; Tunisia","ARP Apr 2026"
PMIR III road rehabilitation,Roads,Procurement active,"69.3 km in Kef and Kasserine in reviewed notice","AfDB; Tunisia","AfDB Jun 2026"
Sfax-Kasserine dual carriageway,Roads,Financed or preparation,"EUR210m EIB financing announced","EIB; Tunisia","EIB Jun 2024"
North-South high-speed rail,Transport,Strategic pipeline or preparation,"Scale not finalized in reviewed announcement","Tunisia; financing to be structured","Prime Ministry 2026"
Tunis-Carthage airport expansion,Aviation,Strategic pipeline or preparation,"Target capacity 18.5m passengers by 2030","Tunisia; financing to be structured","Prime Ministry 2026"
Enfidha deep-water port and logistics zone,Ports,Strategic pipeline or preparation,"About 3,000 hectares; projected 52,000 jobs","Tunisia; financing to be structured","Prime Ministry 2026"
