"domain","metric","healthy_meaning","watch_or_stress","benchmark_type","current_reading","assessment","source_label","source_url"
"Macroeconomy","Real GDP growth","Sustained growth above 3.5% with productivity and employment gains","Below 2% or growth driven mainly by debt-financed consumption","TunStat medium-term policy reference","2.6% year on year in Q1 2026; 2.5% 2026 forecast","watch","INS and World Bank","https://www.ins.tn/publication/la-croissance-economique-au-premier-trimestre-2026"
"Macroeconomy","Average consumer inflation","Stable around 3–5% without large food or regional gaps","Above 7% or accelerating for three months","TunStat operating reference; not a BCT numerical target","5.5% 2026 forecast","watch","World Bank Macro Poverty Outlook","https://documents1.worldbank.org/curated/en/099635304152611739/pdf/IDU-5b2c845c-675f-43d2-8411-9d2c38f7624b.pdf"
"Macroeconomy","Headline inflation","At or below 5% and broadly based disinflation","Above 7% or rising rapidly","TunStat operating reference","5.3% in June 2026","watch","INS","https://www.ins.tn/publication/indice-des-prix-la-consommation-juin-2026"
"Macroeconomy","Food inflation","At or below headline inflation and below 5%","More than 2 percentage points above headline or above 8%","Distributional policy reference","7.1% in June 2026","stress","INS","https://www.ins.tn/publication/indice-des-prix-la-consommation-juin-2026"
"Macroeconomy","Fiscal balance","Deficit no larger than 3% of GDP over the cycle with debt declining","Deficit above 5% or no credible correction path","International reference; EU ceiling is not binding on Tunisia","−6.1% of GDP 2026 forecast","stress","European Commission and World Bank","https://commission.europa.eu/topics/economy-and-euro/european-semester/european-semester-timeline/european-semester-spring-package_en"
"Macroeconomy","Public debt","Clearly declining; below 70% of GDP is the TunStat 2035 policy anchor","Rising above 85% or financed at short maturities","TunStat country-specific policy anchor; not a legal ceiling","83.3% of GDP 2026 forecast","stress","World Bank Macro Poverty Outlook","https://documents1.worldbank.org/curated/en/099635304152611739/pdf/IDU-5b2c845c-675f-43d2-8411-9d2c38f7624b.pdf"
"Macroeconomy","Current-account balance","Deficit at or below 3% of GDP and covered by stable long-term inflows","Deficit above 4% with falling reserves or short-term financing","TunStat external-balance reference","−2.3% BCT estimate for 2025","healthy","BCT Annual Report 2025","https://www.bct.gov.tn/bct/siteprod/documents/RA_2025_fr.pdf"
"Macroeconomy","Net FDI","At least 2% of GDP with sector and regional diversification","Below 1.5% or concentrated in enclave activity","TunStat development reference","1.8% of GDP 2026 forecast","watch","World Bank Macro Poverty Outlook","https://documents1.worldbank.org/curated/en/099635304152611739/pdf/IDU-5b2c845c-675f-43d2-8411-9d2c38f7624b.pdf"
"Trade","Merchandise trade deficit","Narrowing in real terms and as a share of GDP","Widening faster than exports and reserves","Directional; no universal fixed level","TND 12.57bn in H1 2026","stress","INS","https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-juin-2026"
"Trade","Export-to-import coverage","Above 85% and improving; 100% means goods exports fully cover goods imports","Below 75% or falling rapidly","TunStat operating reference","73.4% in H1 2026","stress","INS","https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-juin-2026"
"Trade","Energy share of trade deficit","Below 30% and declining through efficiency and domestic clean energy","Above 50% or rising","TunStat structural reference","About 54% in H1 2026","stress","INS and TunStat calculation","https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-juin-2026"
"External liquidity","FX reserve import cover","At least 90 days; 120 days is the preferred buffer for Tunisia's import and energy exposure","90–119 days is watch; below 90 days is stress","IMF traditional benchmark plus TunStat preferred buffer","97 days on 3 July 2026","watch","IMF reserve adequacy guidance","https://www.elibrary.imf.org/view/journals/007/2016/018/article-A001-en.xml"
"External liquidity","FX reserve stock","Sufficient for at least 120 import days and 100–150% of the IMF ARA metric","Falling without a seasonal or financing explanation","Adequacy depends on liabilities; no healthy TND amount","TND 24.54bn on 3 July 2026","watch","BCT indicators reported by TAP","https://www.tap.info.tn/en/Portal-Headlines/20357134-forex-reserves-drop"
"External liquidity","Workers income receipts","Positive real growth and diversified channels; no fixed healthy amount","Persistent real decline or increasing informality","Directional","TND 11.44bn in 2025; +15.2%","healthy","BCT Annual Report 2025","https://www.bct.gov.tn/bct/siteprod/documents/RA_2025_fr.pdf"
"External liquidity","Tourism receipts","Positive real growth alongside higher nights and spend per visitor","Receipts fall in real terms or depend on one market","Directional","TND 3.35bn in H1 2026; about +4.4%","watch","BCT indicators reported by TAP","https://www.tap.info.tn/en/Portal-Headlines/20383154-tourism-revenues"
"External liquidity","TND exchange rates","Orderly movement consistent with inflation and external balance; no one healthy rate","Disorderly depreciation or a widening official-market premium","Directional; no fixed level","TND 3.377 per EUR and 2.953 per USD on 6 July 2026 reference","context","BCT quotation reported by Tunisienumerique","https://www.tunisienumerique.com/taux-de-change-tunisie-2026-07-06/"
"External liquidity","Long-term external debt","Stable or declining relative to GDP and export earnings","Rising faster than exports with short maturities","Debt-sustainability based; no universal stock","TND 68.16bn; 39.5% of GDP at end-2025","watch","BCT Annual Report 2025","https://www.bct.gov.tn/bct/siteprod/documents/RA_2025_fr.pdf"
"External liquidity","External debt-service coefficient","Below 15% with a smooth maturity profile","15–20% is watch; above 20% is stress","TunStat operating reference","16.1% in 2025","watch","BCT Annual Report 2025","https://www.bct.gov.tn/bct/siteprod/documents/RA_2025_fr.pdf"
"Banking","Solvency ratio","Above the applicable national minimum and at least 10.5% as a Basel total-capital-plus-buffer reference","Within 2 percentage points of the applicable minimum","Basel III reference; national rules prevail","15.1% at end-2025","healthy","Basel Committee and BCT","https://www.bis.org/bcbs/publ/d581.pdf"
