project,sector,region,stage,stage_score,score_definition,scale_or_cost,next_public_milestone,evidence_date,source_url
TEREG,Electricity,National,Approved / implementing,45,Administrative stage score not physical completion,"US$430m public package; US$2.8bn private-mobilization target","Publish first disbursement, grid and connected-capacity milestones",2026-07,https://www.worldbank.org/en/news/press-release/2025/11/11/world-bank-approves-new-project-to-power-tunisia-s-energy-transformation
ELMED,Electricity,North / offshore,Under implementation,65,Administrative stage score not physical completion,"600 MW; about 200 km submarine cable","Publish construction schedule, cost and commissioning updates",2025-12,https://www.eib.org/en/press/all/2024-205-team-europe-commits-eur472-million-to-support-the-elmed-electricity-project-and-its-ecosystem
Renewable auction pipeline,Electricity,Multiple,Procurement / awards,50,Administrative stage score not physical completion,"Multiple 100–300 MW projects; storage included","Publish financial close, construction start and connection dates",2026-06,https://www.energiemines.gov.tn/
Bizerte bridge,Transport,Bizerte,Under construction,70,Administrative stage score not physical completion,"2.07 km; about TND 750m","Publish physical completion and connecting-road progress",2026-05,https://www.afdb.org/fr/projects-and-operations/p-tn-db0-016
Water Security and Resilience Program,Water,Multiple,Approved,35,Administrative stage score not physical completion,"US$332.5m phase 1; US$700m ten-year envelope","Publish procurement, leakage and service baselines",2026-04,https://www.worldbank.org/en/news/press-release/2026/04/01/tunisia-major-push-to-strengthen-water-security-and-resilience
Zarat desalination expansion,Water,Gabes,Financed / preparation,40,Administrative stage score not physical completion,"50,000 to 100,000 m³/day","Publish contract, energy and commissioning schedule",2026-04,https://www.worldbank.org/en/news/press-release/2026/04/01/tunisia-major-push-to-strengthen-water-security-and-resilience
Phosphate rail rehabilitation,Rail,Gafsa / Sfax,Loan approved,35,Administrative stage score not physical completion,"Amount not stated in reviewed parliamentary summary","Publish procurement scope, contract value and delivery dates",2026-04,https://www.arp.tn/
PMIR III road rehabilitation,Roads,Kef / Kasserine,Procurement active,50,Administrative stage score not physical completion,"69.3 km","Publish contract awards, start and completion dates",2026-06,https://www.afdb.org/en/documents/ami-tunisie-travaux-de-renforcement-de-693-km-de-routes-classees-dans-les-gouvernorats-de-kasserine-et-kef-repartis-en-2-lots-pmir-iii
Sfax–Kasserine dual carriageway,Roads,Sfax / Kasserine,Financing / preparation,35,Administrative stage score not physical completion,"EUR 210m EIB financing announced","Confirm scope, procurement and construction schedule",2024-06,https://www.eib.org/en/press/all/2024-200-bei-monde-annonce-450-millions-d-euros-de-soutien-pour-la-tunisie-lors-du-tunisia-investment-forum-2024
North–South high-speed rail,Transport,National,Strategic preparation,15,Administrative stage score not physical completion,"Scope and cost not finalized","Publish demand, alternatives, cost and financing appraisal",2026-05,https://pm.gov.tn/
Tunis–Carthage airport expansion,Aviation,Tunis,Strategic preparation,15,Administrative stage score not physical completion,"Target capacity 18.5m passengers by 2030","Publish demand, design, environmental and financing appraisal",2026-05,https://pm.gov.tn/
Enfidha deep-water port and logistics zone,Ports,Sousse,Strategic preparation,15,Administrative stage score not physical completion,"About 3,000 hectares; official projection of 52,000 jobs","Publish cargo demand, environmental, connectivity and financing appraisal",2026-05,https://pm.gov.tn/
